SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1248.10,1262.50,1218.35,1247.15,1247.15,1249.60,1024,11510,14244955.00,
500003,AEGIS LOGIS ,A ,Q,278.55,279.80,268.65,271.50,271.10,278.55,317,7966,2189085.00,
500008,AMAR RAJA BA,A ,Q,866.00,875.65,860.75,865.25,862.65,865.30,562,16409,14271716.00,
500009,A.SARABHAI  ,XT,Q,13.87,14.00,13.20,13.23,13.22,13.79,41,14711,198086.00,
500010,HDFC        ,A ,Q,1922.00,1935.85,1920.05,1929.90,1931.00,1921.20,1026,480898,928049780.00,
500012,ANDHRA PETRO,X ,Q,58.55,59.45,57.40,57.60,57.60,58.95,136,25242,1466260.00,
500013,ANSAL INFRAS,B ,Q,22.55,22.55,20.45,20.65,20.65,21.70,71,19806,415682.00,
500014,APPLE FINANC,XT,Q,2.16,2.26,2.06,2.08,2.08,2.16,22,3743,7973.00,
500016,ARUNA HOTEL ,XT,Q,28.75,28.75,28.75,28.75,28.75,28.75,4,351,10091.00,
500020,BOM DYEING  ,A ,Q,300.90,303.80,284.85,289.05,289.05,298.75,6253,638978,187234867.00,
500023,ASIANHOTNR  ,B ,Q,302.10,302.10,300.05,300.05,300.05,315.80,6,63,18930.00,
500024,ASSAMCO     ,B ,Q,4.08,4.08,3.92,3.95,3.98,4.10,82,127795,508769.00,
500027,ATUL LTD.   ,A ,Q,2855.65,2881.95,2814.75,2843.25,2849.60,2844.00,72,424,1211231.00,
500028,ATV PROJECTS,XT,Q,9.00,9.51,9.00,9.02,9.02,9.07,21,3032,28343.00,
500029,AUTOLITE(I) ,B ,Q,67.70,68.50,67.10,67.85,68.50,69.25,9,1188,80538.00,
500031,BAJAJ ELECT.,A ,Q,627.05,647.75,612.15,618.05,618.05,625.70,2549,47095,29596358.00,
500032,BAJAJHIND   ,A ,Q,8.25,8.25,7.00,7.28,7.30,8.00,1159,931517,6914281.00,
500033,FORCE MOTR  ,B ,Q,2811.00,2885.00,2809.00,2814.50,2814.50,2807.25,1959,20928,59560792.00,
500034,BAJFINANCE  ,A ,Q,1860.00,1881.00,1844.30,1860.80,1854.60,1858.50,590,13703,25491180.00,
500038,BALRAM.CHINI,A ,Q,66.15,66.65,64.05,64.95,64.95,66.15,1967,650115,42276666.00,
500039,BANCO PROD. ,B ,Q,233.90,233.90,216.50,221.75,221.70,222.90,335,17247,3858035.00,
500040,CENTURY TEXT,A ,Q,1098.25,1103.20,1076.50,1079.15,1080.00,1106.75,742,25848,28059658.00,
500042,BASF INDIA  ,B ,Q,2000.00,2009.90,1930.00,1947.90,1945.65,1976.80,191,1110,2185082.00,
500043,BATA INDIA  ,A ,Q,790.80,794.00,774.45,780.05,774.45,788.00,688,18934,14829291.00,
500048,BEML LTD    ,A ,Q,1083.00,1086.00,1042.20,1054.15,1054.15,1083.75,1229,29494,31366372.00,
500049,BHARAT ELECT,A ,Q,129.00,129.00,124.40,125.55,125.55,127.95,3113,257731,32395918.00,
500052,BHANSALI ENG,B ,Q,169.70,170.90,162.10,164.25,164.25,168.60,1332,129795,21374578.00,
500055,BHUSH STEEL ,B ,Q,23.15,23.55,22.35,22.85,22.85,23.50,831,211117,4807078.00,
500058,BIHAR SPONGE,XT,Q,1.38,1.46,1.38,1.46,1.46,1.45,5,2005,2783.00,
500059,BINANI IND. ,B ,Q,90.40,90.95,87.20,88.15,88.05,90.40,58,4004,356498.00,
500060,BIRLACABLE  ,T ,Q,71.50,73.50,71.35,73.35,71.85,71.75,32,5393,391604.00,
500067,BLUE STAR   ,A ,Q,785.20,788.75,750.85,767.75,767.75,784.70,880,17126,13185492.00,
500068,DISA INDIA  ,X ,Q,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,2,30,180000.00,
500069,BNK CAPITAL ,X ,Q,104.75,104.75,97.10,97.20,97.20,98.25,9,693,67516.00,
500074,BPL LTD.    ,B ,Q,75.80,75.80,70.55,72.35,72.25,74.10,365,37709,2725969.00,
500078,OAL         ,X ,Q,780.15,800.00,761.00,771.65,770.00,770.25,99,17775,13739957.00,
500083,CENTURY EXT ,B ,Q,5.75,5.99,5.75,5.79,5.80,5.80,23,10620,61609.00,
500084,CESC LTD.   ,A ,Q,1058.90,1070.30,1044.10,1048.95,1051.00,1058.90,820,13046,13757316.00,
500085,CHAMBAL FERT,A ,Q,172.10,178.80,170.40,171.20,171.20,171.75,807,66145,11506867.00,
500086,EXIDE IND.  ,A ,Q,262.00,263.50,257.65,258.65,258.65,261.60,639,60107,15631756.00,
500087,CIPLA LTD.  ,A ,Q,575.80,579.55,571.20,577.05,576.30,573.65,694,37447,21555669.00,
500089,DIC INDIA   ,B ,Q,444.00,444.00,429.10,431.90,429.10,438.00,23,384,167496.00,
500092,CRISIL LTD  ,A ,Q,1791.95,1796.05,1770.00,1776.05,1770.00,1782.45,48,460,818594.00,
500093,CGPOWER     ,A ,Q,79.00,80.20,77.65,79.25,79.20,78.50,364,59519,4709800.00,
500096,DABUR (I)   ,A ,Q,366.05,372.00,364.40,370.25,369.10,366.60,560,33705,12447403.00,
500097,DALMIASUG   ,B ,Q,59.00,59.00,55.00,56.85,56.80,59.75,163,13465,763554.00,
500101,ARVIND Ltd  ,A ,Q,439.00,439.00,425.05,427.25,426.75,428.95,901,42702,18315009.00,
500102,BALARPUR IND,B ,Q,12.59,12.59,11.90,11.92,11.92,12.35,198,130765,1576276.00,
500103,BHEL        ,A ,Q,80.75,81.30,77.50,77.75,77.75,80.75,5552,490911,38721915.00,
500104,HIND.PETRO  ,A ,Q,322.70,330.05,317.05,320.40,320.40,318.05,4011,431435,139055458.00,
